round,client_id,class,feature,class_shap_value
1,1,DOS,AVG,0.11368081569671631
1,1,DOS,Std,0.009076069039292634
1,1,DOS,Tot size,0.06626406210416462
1,1,DOS,IAT,0.0011225778391235508
1,1,DOS,Number,1.0445381377621743e-06
1,1,DOS,Variance,0.0899888439103961
1,2,DOS,Header_Length,0.004180734595593094
1,2,DOS,Protocol Type,0.000455017353851872
1,2,DOS,Time_To_Live,0.004747738172943628
1,2,DOS,Rate,0.004776510977535509
1,2,DOS,fin_flag_number,0.0005390850055846386
1,2,DOS,syn_flag_number,0.02417156980081927
1,2,DOS,rst_flag_number,0.00020527293854684104
1,2,DOS,psh_flag_number,4.117386306461413e-05
1,2,DOS,ack_flag_number,0.006289742176886648
1,2,DOS,ece_flag_number,0.0
1,2,DOS,cwr_flag_number,0.0
1,2,DOS,ack_count,0.0029948165058158336
1,2,DOS,syn_count,0.05729922242462635
1,2,DOS,fin_count,0.10579288145527244
1,2,DOS,rst_count,0.05119444392621517
1,2,DOS,HTTP,1.637915743231133e-05
1,2,DOS,HTTPS,0.0002902003205235815
1,2,DOS,DNS,0.0
1,2,DOS,Telnet,0.0
1,2,DOS,SMTP,0.0
1,2,DOS,SSH,0.0
1,2,DOS,IRC,0.0
1,2,DOS,TCP,0.005313806846970692
1,2,DOS,UDP,0.04573689089738764
1,2,DOS,DHCP,0.0
1,2,DOS,ARP,6.90265187586192e-07
1,2,DOS,ICMP,0.001834764982447723
1,2,DOS,IGMP,0.0
1,2,DOS,IPv,4.029657098669759e-07
1,2,DOS,LLC,2.1328742207060714e-06
1,2,DOS,Tot sum,0.1338336169719696
1,2,DOS,Min,0.07156002183855179
1,2,DOS,Max,0.004751778900390491
1,2,DOS,AVG,0.13473996919346973
1,2,DOS,Std,0.0037593803222989663
1,2,DOS,Tot size,0.04226988128502853
1,2,DOS,IAT,0.001978563270495215
1,2,DOS,Number,2.4815969345581836e-05
1,2,DOS,Variance,0.04682046736124903
1,3,DOS,Header_Length,0.007446807467931649
1,3,DOS,Protocol Type,0.0007548731347924332
1,3,DOS,Time_To_Live,0.014323904349839722
