round,class,client_id,class_examples,class_weight,class_shap_weight
8,DOS,4,356064,0.38473092699336886,0.22230079114004725
8,DOS,5,8205,0.15382447440467023,0.2245892323940598
8,MIRAI,1,9852,0.16875845006551654,0.19942310160087368
8,MIRAI,2,30104,0.21929668459307305,0.1972007000034495
8,MIRAI,3,93569,0.31354285899473583,0.2015088948424492
8,MIRAI,4,2545,0.13518087680846338,0.2001748848710954
8,MIRAI,5,8040,0.16322112953821122,0.20169241868213217
8,RECON,1,33060,0.39940901246796123,0.1980214929684205
8,RECON,2,589,0.1422141207051307,0.20423576226642057
8,RECON,3,516,0.138275684626201,0.20149270295001936
8,RECON,4,243,0.12580413334575735,0.2000997398316804
8,RECON,5,3392,0.19429704885494964,0.19615030198345912
8,SPOOFING,1,29,0.11054658184433927,0.20370847467717737
8,SPOOFING,2,5190,0.2183090050540119,0.20404912758530622
8,SPOOFING,3,6742,0.2296893664622674,0.19430768116908956
8,SPOOFING,4,13850,0.2919544622174629,0.20398834940647384
8,SPOOFING,5,1059,0.14950058442191846,0.19394636716195296
8,WEB,1,49,0.1451172778413139,0.1942109318195907
8,WEB,2,286,0.22025205507755433,0.2085174201261089
8,WEB,3,21,0.12996337557384363,0.1970645333110679
8,WEB,4,343,0.2253564144391257,0.19665820014944785
8,WEB,5,670,0.27931087706816243,0.20354891459378466
9,BENIGN,1,21631,0.26546504274667815,0.2111978326955179
9,BENIGN,2,30,0.07693422636705147,0.14196127664101
9,BENIGN,3,10438,0.22030583883205768,0.2185074653267937
9,BENIGN,4,1789,0.1565499332458523,0.22114953075662208
9,BENIGN,5,26562,0.2807449588083605,0.20718389458005637
9,BRUTEFORCE,1,0,0.0,0.0
9,BRUTEFORCE,2,30,0.17619336432353536,0.24079036947234048
9,BRUTEFORCE,3,442,0.33873159689651144,0.24911145583201472
9,BRUTEFORCE,4,123,0.23946585927235398,0.252966313532509
9,BRUTEFORCE,5,132,0.24560917950759928,0.2571318611631359
9,DDOS,1,1160039,0.3225197902059997,0.20375428079155591
9,DDOS,2,24016,0.13238345529704967,0.20127279146176474
9,DDOS,3,575798,0.25161116562289554,0.1923241072935652
9,DDOS,4,37815,0.129754928241819,0.17983611402999553
9,DDOS,5,65238,0.16373066063223607,0.22281270642311857
9,DOS,1,457,0.07547315666198702,0.1313439131289943
9,DOS,2,58958,0.22021752399358768,0.2177851386180943
9,DOS,3,19342,0.17275519218167368,0.21798347318937933
9,DOS,4,356064,0.38230352396812084,0.21744598508955126
9,DOS,5,8205,0.14925060319463082,0.21544148997398097
9,MIRAI,1,9852,0.16811757486970014,0.19814135120924087
9,MIRAI,2,30104,0.22085350415267166,0.2003143391226467
9,MIRAI,3,93569,0.3128581296472811,0.20013943614753976
9,MIRAI,4,2545,0.13530235433631665,0.20041783992680193
9,MIRAI,5,8040,0.16286843699403042,0.2009870335937706
9,RECON,1,33060,0.39889084584885226,0.19698515973020253
9,RECON,2,589,0.1421366718550072,0.20408086456617355
9,RECON,3,516,0.13635748320941626,0.1976563001164499
9,RECON,4,243,0.12564506042331408,0.19978159398679385
9,RECON,5,3392,0.19696993866341017,0.2014960816003802
9,SPOOFING,1,29,0.10775144740166104,0.19811820579182096
9,SPOOFING,2,5190,0.21958147555126672,0.20659406857981596
9,SPOOFING,3,6742,0.23587680551312762,0.20668255927081006
9,SPOOFING,4,13850,0.2920324809897742,0.2041443869510965
9,SPOOFING,5,1059,0.14475779054417026,0.18446077940645658
9,WEB,1,49,0.14671439553343707,0.19740516720383702
9,WEB,2,286,0.21707570263802128,0.20216471524704285
9,WEB,3,21,0.1296192704549487,0.19637632307327804
9,WEB,4,343,0.22651377025388936,0.19897291177897514
9,WEB,5,670,0.28007686111970354,0.20508088269686692
10,BENIGN,1,21631,0.2590315984887524,0.19833094417966637
10,BENIGN,2,30,0.09535051825399096,0.17879386041488898
10,BENIGN,3,10438,0.21461250216674582,0.20712079199616998
10,BENIGN,4,1789,0.15363704991923177,0.21532376410338097
