round,client_id,num_examples,fedavg_weight,final_weight,warmup,client_score,raw_shap_weight,importance::BENIGN,reliability::BENIGN,similarity::BENIGN,gain::BENIGN,importance::DDOS,reliability::DDOS,similarity::DDOS,gain::DDOS,importance::DOS,reliability::DOS,similarity::DOS,gain::DOS,importance::MIRAI,reliability::MIRAI,similarity::MIRAI,gain::MIRAI,importance::RECON,reliability::RECON,similarity::RECON,gain::RECON,importance::SPOOFING,reliability::SPOOFING,similarity::SPOOFING,gain::SPOOFING,importance::WEB,reliability::WEB,similarity::WEB,gain::WEB
8,4,515452,0.2,0.17133395347764244,0,0.14774792717979604,0.12418813421926182,0.036308701497902156,0.0,0.9488972769808532,0.0,0.04030363247791876,0.4999374765537076,0.662579800866215,0.023463384832444978,0.19203636677983923,0.0,0.0,0.0,0.19203636677983923,0.0,0.0,0.0,0.19203636677983923,0.4990642545227698,0.9041397636893658,0.49806475427289476,0.15524219890482202,0.0,0.0,0.0,0.19203636677983923,0.0,0.0,0.0
8,5,515452,0.2,0.16812634374211086,0,0.13274422806962258,0.11695424978027773,0.036308701497902156,0.0,0.0,0.0,0.04030363247791876,0.5002502502502503,0.5078835815091928,0.023776158528987623,0.19203636677983923,0.0,0.0,0.0,0.19203636677983923,0.0009995002498750624,0.0,0.0,0.19203636677983923,0.49881531363012843,0.8560126816697331,0.4978158133802534,0.15524219890482202,0.0,0.0,0.0,0.19203636677983923,0.0,0.0,0.0
9,1,515452,0.2,0.21687454001655943,0,0.29152308796016385,0.2229560288536401,0.042921867914367,0.5361806729144262,0.6770424063257745,0.09126669766540718,0.04396978076865422,0.6795114398761397,0.6448010749954797,0.24520090784573795,0.19096538878894342,0.12844476395878265,0.7004845816963612,0.12844476395878265,0.19096538878894342,0.0,0.9943793243823434,0.0,0.19096538878894342,0.0,0.8027672263237464,0.0,0.14924679616120504,0.4398462902749039,0.9497239255035339,0.3118935343693921,0.19096538878894342,0.0,0.0,0.0
9,2,515452,0.2,0.1724557850472311,0,0.15794771286442133,0.1306697400460187,0.042921867914367,0.4990642545227698,0.8074223465655763,0.05415027927375082,0.04396978076865422,0.6271588215374195,0.6602723674874538,0.19284828950701777,0.19096538878894342,0.5650198750709824,0.639778486693897,0.5650198750709824,0.19096538878894342,0.0,0.0,0.0,0.19096538878894342,0.0,0.0,0.0,0.14924679616120504,0.0,0.0,0.0,0.19096538878894342,0.0,0.0,0.0
9,3,515452,0.2,0.273411656,0,0.43832516450518866,0.4010888116292422,0.042921867914367,0.1172127365020766,0.705311672935752,0.0,0.04396978076865422,0.7018110095033172,0.7243391225182538,0.26750047747291544,0.19096538878894342,0.1569872958257713,0.8086042493819489,0.1569872958257713,0.19096538878894342,0.9421015010721944,0.8786635997207037,0.9411020008223193,0.19096538878894342,0.0,0.0,0.0,0.14924679616120504,0.5190674136996205,0.8648020407007857,0.3911146577941087,0.19096538878894342,0.0792838874680307,0.9795306777829017,0.0792838874680307
9,4,515452,0.2,0.17045982357242703,0,0.15127660929062575,0.12722900572132112,0.042921867914367,0.0,0.8977065765783011,0.0,0.04396978076865422,0.5000625390869293,0.6015243626086706,0.06575200705652756,0.19096538878894342,0.0,0.0,0.0,0.19096538878894342,0.0,0.0,0.0,0.19096538878894342,0.49893975302482224,0.9367611349477993,0.4949517171324992,0.14924679616120504,0.0,0.0,0.0,0.19096538878894342,0.0,0.0,0.0
9,5,515452,0.2,0.1667981953637825,0,0.13257009317435178,0.11805641374977781,0.042921867914367,0.0,0.0,0.0,0.04396978076865422,0.5003128519584532,0.6061545444647414,0.06600231992805144,0.19096538878894342,0.0,0.0,0.0,0.19096538878894342,0.0,0.0,0.0,0.19096538878894342,0.4986909362922329,0.8113865277647218,0.49470290039990983,0.14924679616120504,0.0,0.0,0.0,0.19096538878894342,0.0,0.0,0.0
10,1,515452,0.2,0.21777293657827468,0,0.29797614289553964,0.222370014433621,0.03645019251406843,0.5393190720096415,0.7714536122098674,0.011849482382586207,0.04022636863049198,0.6826574633304573,0.8035083038144026,0.20470310797139407,0.19226368087222837,0.12333333333333334,0.845103710111397,0.12333333333333334,0.19226368087222837,0.0,0.9924963777113849,0.0,0.19226368087222837,0.0,0.9101992965767004,0.0,0.1542687153665261,0.4135593220338983,0.8350617249670472,0.2889302419152039,0.19226368087222837,0.0,0.0,0.0
10,2,515452,0.2,0.1711416114905795,0,0.14967921897393896,0.12287345816750582,0.03645019251406843,0.5026388539834129,0.894144097030118,0.0,0.04022636863049198,0.628999319264806,0.5560501107303818,0.1510449639057428,0.19226368087222837,0.5604272062956718,0.6022885056695206,0.5604272062956718,0.19226368087222837,0.0,0.0,0.0,0.19226368087222837,0.0,0.0,0.0,0.1542687153665261,0.0,0.0,0.0,0.19226368087222837,0.0,0.0,0.0
10,3,515452,0.2,0.27538815920000004,0,0.45508752989886825,0.41687577432222617,0.03645019251406843,0.07947019867549669,0.7944917050388696,0.0,0.04022636863049198,0.7070191431175934,0.7946792317196395,0.22906478775853018,0.19226368087222837,0.22414539160536565,0.7780128096687061,0.22414539160536565,0.19226368087222837,0.9421015010721944,0.9380061967240457,0.9411020008223193,0.19226368087222837,0.0,0.0,0.0,0.1542687153665261,0.47844944429384656,0.968869075409009,0.35382036417515217,0.19226368087222837,0.1038961038961039,0.9839760896210624,0.1038961038961039
10,4,515452,0.2,0.16955272763880117,0,0.14716898313025867,0.12164586613668145,0.03645019251406843,0.0,0.9729340946268437,0.0,0.04022636863049198,0.4999374765537076,0.6157605471733143,0.021983121194644406,0.19226368087222837,0.0,0.0,0.0,0.19226368087222837,0.0,0.0,0.0,0.19226368087222837,0.4990642545227698,0.8976774597584376,0.4970662525247678,0.1542687153665261,0.0,0.0,0.0,0.19226368087222837,0.0,0.0,0.0
10,5,515452,0.2,0.1661445650923447,0,0.13579371917032415,0.11623488693996564,0.03645019251406843,0.0,0.0,0.0,0.04022636863049198,0.5000625390869293,0.440561234097473,0.022108183727866104,0.19226368087222837,0.0,0.0,0.0,0.19226368087222837,0.0,0.0,0.0,0.19226368087222837,0.49893975302482224,0.9217997243539822,0.49694175102682026,0.1542687153665261,0.0,0.0,0.0,0.19226368087222837,0.0,0.0,0.0
